1,MMI,3.56,Greater than one,C4280965,[qnco],"[""Greater than one""-tx-1-""1""-comma_integer-0]",TX,1/1,
9,MMI,3.60,1.1,C4517491,[qnco],"[""1.1""-tx-1-""1 1""-comma_integer-0]",TX,"1/1,11/1",
10,MMI,3.60,1.1,C4517491,[qnco],"[""1.1""-tx-1-""1 1""-comma_integer-0]",TX,"1/1,11/1",
11,MMI,3.55,Greater than one,C4280965,[qnco],"[""Greater than one""-tx-1-""1""-real_number-0]",TX,0/1,
12,MMI,16.16,Poverty,C0032854,[grpa],"[""Poverty""-tx-1-""poverty""-noun-0]",TX,26/7,I01.880.735.634;I01.880.853.996.535;N01.824.600
12,MMI,3.54,Levels (qualifier value),C0441889,[qlco],"[""Levels (qualifier value)""-tx-1-""level""-noun-0]",TX,34/5,
12,MMI,3.54,Percent (qualifier value),C0439165,[qnco],"[""%""-tx-1-""percent""-noun-0]",TX,11/7,
13,MMI,16.16,Poverty,C0032854,[grpa],"[""Poverty""-tx-1-""poverty""-noun-0]",TX,22/7,I01.880.735.634;I01.880.853.996.535;N01.824.600
13,MMI,3.55,Levels (qualifier value),C0441889,[qlco],"[""Levels (qualifier value)""-tx-1-""level""-noun-0]",TX,30/5,
13,MMI,3.55,Percent (qualifier value),C0439165,[qnco],"[""%""-tx-1-""percent""-noun-0]",TX,11/7,
14,MMI,16.16,Poverty,C0032854,[grpa],"[""Poverty""-tx-1-""poverty""-noun-0]",TX,26/7,I01.880.735.634;I01.880.853.996.535;N01.824.600
14,MMI,3.54,Levels (qualifier value),C0441889,[qlco],"[""Levels (qualifier value)""-tx-1-""level""-noun-0]",TX,34/5,
14,MMI,3.54,Percent (qualifier value),C0439165,[qnco],"[""%""-tx-1-""percent""-noun-0]",TX,11/7,
15,MMI,3.55,Greater than one,C4280965,[qnco],"[""Greater than one""-tx-1-""1""-real_number-0]",TX,0/1,
16,MMI,3.56,1.1,C4517491,[qnco],"[""1.1""-tx-1-""1 1""-real_number-0]",TX,"0/1,8/1",
17,MMI,3.57,Residential flat,C0457933,[mnob],"[""Residential flat""-tx-1-""apartments""-noun-0]",TX,11/10,
18,MMI,3.62,/10 min,C0456692,[tmco],"[""/10 min""-tx-1-""10 minutes""-noun-0]",TX,"0/2,9/7",
19,MMI,6.70,School,C0036375,"[mnob,orgt]","[""School""-tx-1-""school""-adj-0]",TX,31/6,I02.783;J03.832
19,MMI,3.54,per year,C0439508,[tmco],"[""per year""-tx-1-""year""-noun-0]",TX,9/4,
